Date,Open,High,Low,Close
04/20/2012,"1,376.96","1,387.40","1,376.96","1,378.53"
04/19/2012,"1,385.08","1,390.46","1,370.30","1,376.92"
04/18/2012,"1,390.78","1,390.78","1,383.29","1,385.14"
04/17/2012,"1,369.57","1,392.76","1,369.57","1,390.78"
04/16/2012,"1,370.27","1,379.66","1,365.38","1,369.57"
04/13/2012,"1,387.61","1,387.61","1,369.85","1,370.26"
04/12/2012,"1,368.77","1,388.13","1,368.77","1,387.57"
04/11/2012,"1,358.98","1,374.71","1,358.98","1,368.71"
04/10/2012,"1,382.18","1,383.01","1,357.38","1,358.59"
04/09/2012,"1,397.45","1,397.45","1,378.24","1,382.20"
04/05/2012,"1,398.79","1,401.60","1,392.92","1,398.08"
04/04/2012,"1,413.09","1,413.09","1,394.09","1,398.96"
04/03/2012,"1,418.98","1,419.00","1,404.62","1,413.38"
04/02/2012,"1,408.47","1,422.38","1,404.46","1,419.04"
03/30/2012,"1,403.31","1,410.89","1,401.42","1,408.47"
03/29/2012,"1,405.39","1,405.39","1,391.56","1,403.28"
03/28/2012,"1,412.52","1,413.65","1,397.20","1,405.54"
03/27/2012,"1,416.55","1,419.15","1,411.95","1,412.52"
03/26/2012,"1,397.11","1,416.58","1,397.11","1,416.51"
03/23/2012,"1,392.78","1,399.18","1,386.87","1,397.11"
03/22/2012,"1,402.89","1,402.89","1,388.73","1,392.78"
03/21/2012,"1,405.52","1,407.75","1,400.64","1,402.89"
03/20/2012,"1,409.59","1,409.59","1,397.68","1,405.52"
03/19/2012,"1,404.17","1,414.00","1,402.43","1,409.75"
03/16/2012,"1,402.55","1,405.88","1,401.47","1,404.17"
03/15/2012,"1,394.17","1,402.63","1,392.78","1,402.60"
03/14/2012,"1,395.95","1,399.42","1,389.97","1,394.28"
03/13/2012,"1,371.92","1,396.13","1,371.92","1,395.95"
03/12/2012,"1,370.78","1,373.04","1,366.69","1,371.09"
03/09/2012,"1,365.97","1,374.76","1,365.97","1,370.87"
03/08/2012,"1,352.65","1,368.72","1,352.65","1,365.91"
03/07/2012,"1,343.39","1,354.85","1,343.39","1,352.63"
